"year","month","day","latitude","longitude","scientific_name","common_name","iconic_taxon_name","taxon_class_name","taxon_order_name","Invasive"
2009,6,25,44.90028345,-64.51700371,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2009,6,27,44.773212,-63.606901,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2010,6,21,44.90357989,-64.52312049,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2012,8,12,44.27666995,-64.57592205,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2012,8,12,44.27746207,-64.57670525,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2013,7,17,44.90290689,-64.52783522,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2013,9,10,44.4107933,-64.32186127,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2013,9,13,46.25099537,-60.29771926,"Molgula","","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2013,9,19,44.375,-64.3083,"Ascidiella aspersa","European ascidian","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2013,9,19,44.4108,-64.3217,"Ascidiella aspersa","European ascidian","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2014,5,20,46.336123,-61.092597,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2014,6,19,46.66968733,-60.96286451,"Salpida","Salps","Animalia","Thaliacea","Salpida","Tunicate"
2014,8,2,45.98179745,-60.4310596,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,2,44.35059962,-64.32114183,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,2,44.3504578,-64.32125216,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,8,45.9818,-60.4314,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,8,9,46.1908,-60.2686,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2014,8,9,45.6137,-61.3654,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,26,46.25177983,-60.30221126,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,26,46.25186025,-60.30233942,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2014,9,27,45.66096223,-60.8763853,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,30,45.98171661,-60.43101525,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2014,9,30,45.981796,-60.431061,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,7,31,44.71050944,-64.71745556,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2015,10,4,46.099294,-60.748206,"Molgula manhattensis","Northern Sea Squirt","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,4,46.28112601,-60.42449244,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,4,46.25180938,-60.30216504,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,5,45.70018,-61.09173,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,6,46.68935,-60.35959,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,7,45.91783,-59.97138,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2015,10,7,45.91783,-59.97138,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2015,10,8,46.0273,-61.54474,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,8,46.0273,-61.54474,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,9,45.61432,-61.36533,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2015,10,9,45.61432,-61.36533,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2015,10,9,45.61432,-61.36533,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2016,8,10,46.07500104,-60.29159546,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2016,9,17,44.40110194,-64.54708095,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2016,10,13,43.52981111,-65.43878889,"Tunicata","Tunicates","Animalia","","","Tunicate"
2016,10,13,43.52979722,-65.43886667,"Tunicata","Tunicates","Animalia","","","Tunicate"
2016,10,19,44.71244876,-63.67113523,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2016,10,27,43.67295556,-65.77452222,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2016,11,7,44.45819722,-63.72370278,"Ascidiacea","Sea Squirts","Animalia","Ascidiacea","","Tunicate"
2017,3,2,44.61982167,-63.57164667,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2017,4,15,45.09158294,-63.38926689,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2017,5,3,44.24489183,-66.04297142,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2017,5,20,44.98980421,-64.53498121,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2017,5,20,44.98982232,-64.53494987,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2017,7,23,44.49785336,-63.52292589,"Boltenia ovifera","Stalked tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,7,24,44.12641383,-65.23095435,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2017,7,28,44.66544964,-65.49649914,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2017,7,29,44.93655423,-64.5104758,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2017,7,29,44.49758782,-63.52529283,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,8,2,44.52661158,-63.94995146,"Styelidae","","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,8,2,44.52645673,-63.9496535,"Ascidiacea","Sea Squirts","Animalia","Ascidiacea","","Tunicate"
2017,8,2,44.52682599,-63.94967721,"Molgula","","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,8,27,44.50027833,-63.9225,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,8,27,44.50027833,-63.9225,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,8,27,44.50027833,-63.9225,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,8,27,44.25860197,-66.33666703,"Diplosoma listerianum","Jelly Crust Tunicate","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,27,44.25860197,-66.33666703,"Aplidium glabrum","","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,27,44.25860197,-66.33666703,"Didemnum albidum","Northern White Crust","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,28,44.23368601,-66.38940504,"Aplidium glabrum","","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,28,44.23368601,-66.38940504,"Aplidium glabrum","","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,28,44.23368601,-66.38940504,"Diplosoma listerianum","Jelly Crust Tunicate","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,28,44.23368601,-66.38940504,"Diplosoma listerianum","Jelly Crust Tunicate","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,28,44.23368601,-66.38940504,"Diplosoma listerianum","Jelly Crust Tunicate","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,8,30,44.20948201,-66.38553796,"Boltenia echinata","cactus sea squirt","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,8,30,44.20948201,-66.38553796,"Diplosoma listerianum","Jelly Crust Tunicate","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,9,15,44.62433833,-63.56417833,"Tunicata","Tunicates","Animalia","","","Tunicate"
2017,9,17,44.6866684,-63.68055725,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2017,9,17,44.68781838,-63.68579082,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2017,9,27,44.260836,-66.33835296,"Didemnum albidum","Northern White Crust","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,9,28,44.24457301,-66.35309002,"Diplosoma listerianum","Jelly Crust Tunicate","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,9,28,44.24457301,-66.35309002,"Aplidium glabrum","","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,9,28,44.24457301,-66.35309002,"Boltenia echinata","cactus sea squirt","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,9,28,44.24457301,-66.35309002,"Aplidium","Sea Pork","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,9,28,44.24457301,-66.35309002,"Boltenia echinata","cactus sea squirt","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2017,9,28,44.24997096,-66.34644703,"Aplidium","Sea Pork","Animalia","Ascidiacea","Aplousobranchia","Tunicate"
2017,9,30,44.45999908,-64.95388794,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2017,10,16,44.67565713,-63.6141424,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2017,11,18,44.647755,-63.56997,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,3,29,44.64406946,-63.37492776,"Boltenia ovifera","Stalked tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,5,18,44.8646943,-63.6240445,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2018,5,18,44.86473749,-63.62403377,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2018,5,18,44.86474285,-63.62401767,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2018,5,28,44.77184652,-63.60832125,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2018,6,4,44.65004311,-63.5716362,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,6,8,44.63743833,-63.60493333,"Ascidiacea","Sea Squirts","Animalia","Ascidiacea","","Tunicate"
2018,6,17,45.09048642,-63.3908955,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2018,6,28,45.24060833,-63.33883333,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2018,7,15,44.37566757,-64.31044769,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,7,15,44.37626648,-64.30995178,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,7,15,44.37562561,-64.31039429,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,7,15,44.37562943,-64.31044006,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,7,15,44.41375673,-64.77903832,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2018,7,16,44.6432991,-63.56800461,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,7,25,43.90823333,-65.91272833,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2018,8,10,44.624225,-63.653575,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2018,8,21,43.52987222,-65.439025,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,8,22,44.6373522,-65.66889408,"Salpida","Salps","Animalia","Thaliacea","Salpida","Tunicate"
2018,9,21,44.63647663,-63.59374274,"Tunicata","Tunicates","Animalia","","","Tunicate"
2018,9,21,44.63643929,-63.59368607,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,21,44.63647299,-63.59368583,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,21,44.63310546,-63.59866559,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,9,21,44.63648333,-63.59375,"Ciona","","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,21,44.6332972,-63.59921481,"Tunicata","Tunicates","Animalia","","","Tunicate"
2018,9,21,44.6364814,-63.59361401,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,21,44.6364077,-63.5938924,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2018,9,21,44.636427,-63.5938814,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,21,44.6330999,-63.59861415,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,21,44.63323954,-63.59875157,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,21,44.63642833,-63.59371667,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,9,22,44.80424639,-63.60952295,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2018,9,22,44.95720242,-64.64992442,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2018,9,30,44.32360712,-65.19213481,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2018,10,4,45.21698539,-64.36988756,"Tunicata","Tunicates","Animalia","","","Tunicate"
2018,10,10,44.63305641,-63.5987658,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2018,11,1,45.45412277,-61.57289186,"Ascidiacea","Sea Squirts","Animalia","Ascidiacea","","Tunicate"
2018,11,2,45.45387512,-61.56987133,"Ciona","","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,2,22,44.6505335,-63.6061721,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,4,25,44.5971935,-64.06113245,"Botrylloides","","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,4,28,45.02271953,-64.40009795,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,4,28,45.02274418,-64.40003559,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,4,28,44.63316333,-63.598955,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,4,28,44.63316333,-63.598955,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,4,28,44.63316333,-63.598955,"Boltenia echinata","cactus sea squirt","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,4,29,44.64420437,-63.37569486,"Boltenia ovifera","Stalked tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,4,29,44.6443268,-63.374348,"Boltenia ovifera","Stalked tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,5,8,43.92729607,-65.93212746,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,5,9,44.96793842,-64.65625,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,5,10,43.91826841,-66.00017678,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,5,12,44.46251547,-63.70759574,"Tunicata","Tunicates","Animalia","","","Tunicate"
2019,5,19,44.35115786,-65.85613822,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,5,20,44.4772377,-64.63455963,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,5,24,43.88613391,-66.00667879,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,5,27,44.68980833,-63.54589667,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,6,7,43.89535369,-65.99388968,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,6,8,43.88746243,-66.00867201,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,6,20,44.76870505,-63.58389009,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,7,6,44.4575,-63.72333333,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,7,6,44.24814026,-65.93809327,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,7,6,44.48006144,-64.63440802,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,7,15,44.93449695,-64.51682914,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,7,19,44.55567858,-64.74083941,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,7,22,45.08973333,-63.390575,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,7,25,44.7105087,-64.71735077,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,7,28,44.46259072,-63.70763277,"Ascidiacea","Sea Squirts","Animalia","Ascidiacea","","Tunicate"
2019,7,31,45.99382782,-64.00546265,"Botrylloides violaceus","Chain Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,8,3,44.97572705,-64.63989201,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,8,3,44.94985671,-64.66484116,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,8,3,44.97928824,-64.63551762,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,8,6,44.70239521,-63.55543404,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,8,6,44.6396312,-63.9296458,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,8,7,44.54597694,-64.60394852,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,8,10,44.77934265,-63.62614822,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,8,12,44.96423833,-64.64171488,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,8,12,44.96064023,-64.62998069,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,8,12,44.96642191,-64.63257091,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,8,12,44.9729903,-64.62645367,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,8,24,43.724545,-65.40274667,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,8,30,44.179255,-65.94142833,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,8,30,44.6925192,-65.78623248,"Salpida","Salps","Animalia","Thaliacea","Salpida","Tunicate"
2019,8,31,44.59855119,-64.64998193,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,9,2,45.10151383,-64.470055,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,9,3,44.46868553,-63.71337958,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,9,15,45.082775,-64.32183,"Micropterus dolomieu","Smallmouth Bass","Actinopterygii","Actinopterygii","Centrarchiformes","Smallmouth Bass"
2019,9,20,44.63306352,-63.59870045,"Ascidiidae","","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,9,20,44.6329872,-63.59879616,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,9,20,44.63280693,-63.59873403,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,9,20,44.63308832,-63.5986949,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,9,20,44.63306382,-63.59856343,"Tunicata","Tunicates","Animalia","","","Tunicate"
2019,9,20,44.63301948,-63.59865222,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,9,20,44.63309869,-63.59851912,"Botryllus schlosseri","Star Tunicate","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,9,20,44.63299849,-63.59933048,"Ascidiacea","Sea Squirts","Animalia","Ascidiacea","","Tunicate"
2019,9,20,44.63311831,-63.59875279,"Styelidae","","Animalia","Ascidiacea","Stolidobranchia","Tunicate"
2019,9,20,44.63312565,-63.59864047,"Ciona intestinalis","Sea Vase","Animalia","Ascidiacea","Phlebobranchia","Tunicate"
2019,9,21,44.648549,-63.41431485,"Salpida","Salps","Animalia","Thaliacea","Salpida","Tunicate"
2019,9,28,44.93657099,-64.5142661,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
2019,9,28,44.93781969,-64.51702448,"Esox niger","Chain Pickerel","Actinopterygii","Actinopterygii","Esociformes","Chain Pickerel"
